fname,itp,its,channels,network,magnitude
IM.NV03._2008-04-22T23_49_23.513_2008-04-22T23_53_10.632.npz,2400,5485,SHZ,IM,3.0
IM.NV03._2008-04-23T00_24_58.948_2008-04-23T00_29_15.778.npz,2400,6674,SHZ,IM,1.6
IM.NV03._2008-04-23T00_53_42.536_2008-04-23T00_58_12.280.npz,2400,7190,SHZ,IM,3.0
IM.NV03._2008-04-23T01_55_29.203_2008-04-23T01_59_16.288.npz,2400,5483,SHZ,IM,3.0
IM.NV03._2008-04-23T02_06_04.489_2008-04-23T02_09_11.925.npz,3600,5847,SHZ,IM,3.3
IM.NV03._2008-04-23T02_28_05.453_2008-04-23T02_32_22.366.npz,2400,6676,SHZ,IM,1.9
IM.NV03._2008-04-23T03_37_14.451_2008-04-23T03_41_29.028.npz,2400,6583,SHZ,IM,2.7
IM.NV03._2008-04-23T04_57_13.088_2008-04-23T05_02_35.149.npz,701,7583,SHZ,IM,2.7
IM.NV03._2008-04-23T09_30_37.844_2008-04-23T09_36_17.155.npz,276,7849,SHZ,IM,2.5
IM.NV03._2008-04-23T10_53_33.656_2008-04-23T10_57_52.616.npz,2400,6758,SHZ,IM,2.1
IM.NV03._2008-04-23T11_12_09.549_2008-04-23T11_16_26.460.npz,2400,6677,SHZ,IM,2.1
IM.NV03._2008-04-23T17_20_32.889_2008-04-23T17_25_57.226.npz,403,7377,SHZ,IM,2.4
IM.NV03._2008-04-24T05_23_33.790_2008-04-24T05_28_02.670.npz,899,5654,SHZ,IM,4.1
IM.NV03._2008-04-24T07_15_23.226_2008-04-24T07_19_49.828.npz,2400,7064,SHZ,IM,3.6
IM.NV03._2008-04-24T13_24_07.786_2008-04-24T13_28_27.761.npz,2400,6799,SHZ,IM,1.5
IM.NV03._2008-04-24T13_38_18.274_2008-04-24T13_42_47.006.npz,23,3726,SHZ,IM,4.6
IM.NV03._2008-04-24T22_46_33.762_2008-04-24T22_49_55.499.npz,3600,6703,SHZ,IM,3.7
IM.NV03._2008-04-24T22_55_20.751_2008-04-24T22_58_43.813.npz,783,3966,SHZ,IM,3.7
IM.NV03._2008-04-24T23_17_42.382_2008-04-24T23_22_41.555.npz,848,5711,SHZ,IM,4.1
IM.NV03._2008-04-25T01_00_03.962_2008-04-25T01_03_27.073.npz,3600,6786,SHZ,IM,3.3
IM.NV03._2008-04-25T06_29_30.710_2008-04-25T06_35_07.158.npz,989,8447,SHZ,IM,2.9
IM.NV03._2008-04-25T08_42_28.498_2008-04-25T08_45_51.462.npz,3600,6778,SHZ,IM,3.3
IM.NV03._2008-04-26T01_55_41.866_2008-04-26T02_00_01.182.npz,2400,6773,SHZ,IM,2.2
IM.NV03._2008-04-26T01_59_14.618_2008-04-26T02_03_31.282.npz,2400,6667,SHZ,IM,2.3
IM.NV03._2008-04-26T02_45_29.080_2008-04-26T02_51_08.577.npz,3600,6054,SHZ,IM,2.5
IM.NV03._2008-04-26T06_43_21.288_2008-04-26T06_46_44.358.npz,424,3608,SHZ,IM,3.4
IM.NV03._2008-04-26T06_44_37.998_2008-04-26T06_48_00.943.npz,3600,6777,SHZ,IM,2.9
IM.NV03._2008-04-26T07_28_49.952_2008-04-26T07_32_12.353.npz,3600,6744,SHZ,IM,3.7
IM.NV03._2008-04-26T09_11_30.256_2008-04-26T09_14_53.328.npz,3600,6201,SHZ,IM,3.4
IM.NV03._2008-04-26T16_32_21.989_2008-04-26T16_36_38.816.npz,2400,6673,SHZ,IM,2.3
IM.NV03._2008-04-26T22_50_25.194_2008-04-26T22_54_40.833.npz,777,4065,SHZ,IM,3.3
IM.NV03._2008-04-27T17_45_02.779_2008-04-27T17_49_19.652.npz,2400,6675,SHZ,IM,2.1
IM.NV03._2008-04-27T20_44_18.850_2008-04-27T20_48_35.736.npz,2400,6676,SHZ,IM,1.6
IM.NV03._2008-04-27T21_20_07.348_2008-04-27T21_25_32.279.npz,149,7041,SHZ,IM,5.2
IM.NV03._2008-04-27T21_50_05.696_2008-04-27T21_55_29.853.npz,3600,5658,SHZ,IM,3.3
IM.NV03._2008-04-28T05_43_52.086_2008-04-28T05_49_31.077.npz,2400,5516,SHZ,IM,3.0
IM.NV03._2008-04-28T06_07_41.596_2008-04-28T06_11_58.262.npz,2400,6667,SHZ,IM,2.0
IM.NV03._2008-04-28T07_39_48.813_2008-04-28T07_44_08.733.npz,2400,6797,SHZ,IM,3.1
IM.NV03._2008-04-28T08_22_15.886_2008-04-28T08_26_07.231.npz,2400,5654,SHZ,IM,2.2
IM.NV03._2008-04-28T08_52_22.451_2008-04-28T08_56_36.692.npz,2400,6569,SHZ,IM,2.3
IM.NV03._2008-04-28T11_32_48.832_2008-04-28T11_36_10.592.npz,701,3806,SHZ,IM,4.1
IM.NV03._2008-04-28T15_50_37.460_2008-04-28T15_54_53.777.npz,2400,6653,SHZ,IM,2.1
IM.NV03._2008-04-28T17_39_47.082_2008-04-28T17_45_15.663.npz,504,7647,SHZ,IM,3.0
IM.NV03._2008-04-28T21_05_44.025_2008-04-28T21_10_00.332.npz,2400,6653,SHZ,IM,2.0
IM.NV03._2008-04-29T02_38_25.465_2008-04-29T02_42_58.212.npz,2400,5781,SHZ,IM,2.7
IM.NV03._2008-04-29T05_50_35.476_2008-04-29T05_53_58.285.npz,3600,6768,SHZ,IM,3.1
IM.NV03._2008-04-29T06_01_23.526_2008-04-29T06_04_46.368.npz,652,3821,SHZ,IM,3.2
IM.NV03._2008-04-29T12_28_22.443_2008-04-29T12_34_00.684.npz,736,8266,SHZ,IM,2.8
IM.NV03._2008-04-29T13_58_27.523_2008-04-29T14_02_53.300.npz,929,4677,SHZ,IM,2.3
IM.NV03._2008-04-29T14_53_47.142_2008-04-29T14_59_11.351.npz,449,7418,SHZ,IM,2.6
IM.NV03._2008-04-29T16_14_30.883_2008-04-29T16_17_54.170.npz,475,3671,SHZ,IM,3.1
IM.NV03._2008-04-29T17_45_13.449_2008-04-29T17_48_57.826.npz,25,4489,SHZ,IM,3.6
IM.NV03._2008-04-29T19_44_25.608_2008-04-29T19_48_43.287.npz,2400,6707,SHZ,IM,2.5
IM.NV03._2008-04-29T21_22_48.858_2008-04-29T21_27_08.326.npz,2400,6779,SHZ,IM,2.2
IM.NV03._2008-04-30T03_03_17.326_2008-04-30T03_07_12.882.npz,2400,5822,SHZ,IM,5.4
IM.NV03._2008-04-30T05_14_52.721_2008-04-30T05_22_19.410.npz,20,7911,SHZ,IM,2.9
IM.NV03._2008-04-30T07_14_09.457_2008-04-30T07_19_35.663.npz,2400,7221,SHZ,IM,2.8
IM.NV03._2008-04-30T22_18_31.063_2008-04-30T22_23_45.908.npz,2400,5957,SHZ,IM,2.5
IM.NV03._2008-05-01T03_42_20.388_2008-05-01T03_48_21.667.npz,89,8540,SHZ,IM,2.0
IM.NV03._2008-05-01T03_55_53.481_2008-05-01T03_59_54.942.npz,2400,5460,SHZ,IM,3.5
IM.NV03._2008-05-01T05_53_02.077_2008-05-01T05_57_22.963.npz,2400,6716,SHZ,IM,2.0
IM.NV03._2008-05-01T12_26_52.000_2008-05-01T12_31_10.896.npz,2400,6756,SHZ,IM,1.6
IM.NV03._2008-05-01T13_20_17.663_2008-05-01T13_24_34.443.npz,2400,6671,SHZ,IM,1.8
IM.NV03._2008-05-01T13_28_01.905_2008-05-01T13_31_45.705.npz,655,5083,SHZ,IM,3.2
IM.NV03._2008-05-01T19_36_44.150_2008-05-01T19_44_03.981.npz,940,6374,SHZ,IM,2.4
IM.NV03._2008-05-01T20_53_10.847_2008-05-01T20_56_43.606.npz,946,4712,SHZ,IM,3.1
IM.NV03._2008-05-01T21_39_24.957_2008-05-01T21_43_01.279.npz,519,4498,SHZ,IM,3.5
IM.NV03._2008-05-02T02_13_30.668_2008-05-02T02_18_04.157.npz,2400,7340,SHZ,IM,3.0
IM.NV03._2008-05-02T04_03_24.542_2008-05-02T04_07_01.111.npz,548,4542,SHZ,IM,3.7
IM.NV03._2008-05-02T04_22_48.687_2008-05-02T04_26_25.089.npz,71,4055,SHZ,IM,3.3
IM.NV03._2008-05-02T08_46_45.351_2008-05-02T08_49_59.890.npz,3600,6271,SHZ,IM,3.0
IM.NV03._2008-05-02T11_57_11.949_2008-05-02T12_01_39.571.npz,736,5441,SHZ,IM,3.5
IM.NV03._2008-05-02T13_52_28.287_2008-05-02T13_56_06.117.npz,177,4246,SHZ,IM,2.8
IM.NV03._2008-05-02T17_11_25.795_2008-05-02T17_14_48.917.npz,897,4084,SHZ,IM,2.9
IM.NV03._2008-05-02T19_37_51.896_2008-05-02T19_41_59.084.npz,2400,6288,SHZ,IM,2.9
IM.NV03._2008-05-02T21_35_19.658_2008-05-02T21_39_37.309.npz,2400,6706,SHZ,IM,1.8
IM.NV03._2008-05-02T22_17_48.518_2008-05-02T22_23_12.526.npz,695,7656,SHZ,IM,3.3
IM.NV03._2008-05-02T22_33_39.034_2008-05-02T22_39_25.794.npz,2400,6438,SHZ,IM,3.2
IM.NV03._2008-05-03T04_08_33.525_2008-05-03T04_15_49.757.npz,142,6801,SHZ,IM,2.0
IM.NV03._2008-05-03T06_07_09.950_2008-05-03T06_11_35.107.npz,863,5470,SHZ,IM,2.6
IM.NV03._2008-05-03T06_35_25.104_2008-05-03T06_39_53.027.npz,2400,5795,SHZ,IM,3.6
IM.NV03._2008-05-03T07_19_16.539_2008-05-03T07_24_51.656.npz,735,8140,SHZ,IM,3.0
IM.NV03._2008-05-03T07_49_22.526_2008-05-03T07_53_41.542.npz,4,4051,SHZ,IM,1.5
IM.NV03._2008-05-04T02_41_57.442_2008-05-04T02_46_25.301.npz,2400,7115,SHZ,IM,3.6
IM.NV03._2008-05-04T07_34_22.743_2008-05-04T07_40_19.011.npz,3600,4635,SHZ,IM,3.3
IM.NV03._2008-05-04T21_13_34.208_2008-05-04T21_18_58.343.npz,3600,5146,SHZ,IM,2.7
IM.NV03._2008-05-05T00_38_22.533_2008-05-05T00_43_56.506.npz,810,6308,SHZ,IM,2.5
IM.NV03._2008-05-05T07_19_22.964_2008-05-05T07_23_05.578.npz,571,4928,SHZ,IM,3.0
IM.NV03._2008-05-05T08_06_14.886_2008-05-05T08_12_01.098.npz,183,8031,SHZ,IM,2.8
IM.NV03._2008-05-05T13_00_28.635_2008-05-05T13_03_51.863.npz,3600,5481,SHZ,IM,2.6
IM.NV03._2008-05-05T17_19_53.375_2008-05-05T17_24_11.075.npz,2400,6709,SHZ,IM,1.4
IM.NV03._2008-05-06T00_46_50.739_2008-05-06T00_52_14.899.npz,3600,5955,SHZ,IM,2.4
IM.NV03._2008-05-06T08_41_13.431_2008-05-06T08_44_35.737.npz,3600,6738,SHZ,IM,2.5
IM.NV03._2008-05-06T10_44_04.844_2008-05-06T10_48_22.785.npz,2400,6718,SHZ,IM,1.6
IM.NV03._2008-05-06T17_19_26.223_2008-05-06T17_23_54.141.npz,2400,7117,SHZ,IM,4.5
IM.NV03._2008-05-06T21_58_38.929_2008-05-06T22_02_53.533.npz,2400,6584,SHZ,IM,2.7
IM.NV03._2008-05-07T04_50_00.557_2008-05-07T04_54_16.430.npz,2400,6635,SHZ,IM,2.7
IM.NV03._2008-05-07T06_32_00.675_2008-05-07T06_36_17.486.npz,2400,6673,SHZ,IM,3.4
IM.NV03._2008-05-07T07_09_14.874_2008-05-07T07_13_58.992.npz,891,6256,SHZ,IM,3.0
IM.NV03._2008-05-07T08_47_26.289_2008-05-07T08_51_43.108.npz,2400,6673,SHZ,IM,2.3
IM.NV03._2008-05-07T08_51_29.557_2008-05-07T08_55_46.412.npz,2400,6674,SHZ,IM,1.8
IM.NV03._2008-05-07T10_06_18.636_2008-05-07T10_10_35.475.npz,2400,6674,SHZ,IM,1.5
IM.NV03._2008-05-07T10_50_44.187_2008-05-07T10_55_01.067.npz,2400,6675,SHZ,IM,2.1
IM.NV03._2008-05-07T23_17_19.279_2008-05-07T23_21_39.593.npz,2400,6812,SHZ,IM,1.6
IM.NV03._2008-05-08T00_17_55.442_2008-05-08T00_21_55.049.npz,2400,5984,SHZ,IM,2.8
IM.NV03._2008-05-08T05_54_31.434_2008-05-08T05_57_54.525.npz,3600,6786,SHZ,IM,3.6
IM.NV03._2008-05-08T09_51_58.592_2008-05-08T09_56_19.393.npz,2400,6832,SHZ,IM,1.8
IM.NV03._2008-05-08T10_17_51.387_2008-05-08T10_22_09.539.npz,2400,6726,SHZ,IM,1.7
IM.NV03._2008-05-08T12_14_10.106_2008-05-08T12_20_08.483.npz,815,9150,SHZ,IM,3.1
IM.NV03._2008-05-08T19_23_10.759_2008-05-08T19_29_08.974.npz,267,8595,SHZ,IM,3.4
IM.NV03._2008-05-08T23_16_42.901_2008-05-08T23_20_59.774.npz,2400,6674,SHZ,IM,1.6
IM.NV03._2008-05-08T23_44_23.723_2008-05-08T23_48_17.476.npz,2400,5751,SHZ,IM,3.1
IM.NV03._2008-05-09T01_18_22.172_2008-05-09T01_23_58.244.npz,647,8090,SHZ,IM,2.8
IM.NV03._2008-05-09T02_43_54.591_2008-05-09T02_48_11.075.npz,2400,6660,SHZ,IM,1.7
IM.NV03._2008-05-09T04_48_24.700_2008-05-09T04_52_22.735.npz,2400,5922,SHZ,IM,2.7
IM.NV03._2008-05-09T05_15_33.256_2008-05-09T05_21_31.260.npz,919,9239,SHZ,IM,2.8
IM.NV03._2008-05-09T06_25_42.325_2008-05-09T06_29_58.813.npz,2400,6660,SHZ,IM,2.0
IM.NV03._2008-05-09T07_10_31.201_2008-05-09T07_15_53.075.npz,118,6993,SHZ,IM,2.5
IM.NV03._2008-05-09T09_54_48.109_2008-05-09T10_00_46.298.npz,255,8582,SHZ,IM,2.7
IM.NV03._2008-05-09T14_34_09.974_2008-05-09T14_39_53.832.npz,769,8524,SHZ,IM,2.5
IM.NV03._2008-05-09T16_48_42.710_2008-05-09T16_54_40.838.npz,451,8776,SHZ,IM,2.9
IM.NV03._2008-05-09T20_46_21.140_2008-05-09T20_52_16.073.npz,306,8503,SHZ,IM,3.4
IM.NV03._2008-05-09T22_38_25.663_2008-05-09T22_42_27.069.npz,2400,6056,SHZ,IM,4.9
IM.NV03._2008-05-09T22_59_17.293_2008-05-09T23_02_51.496.npz,567,4419,SHZ,IM,3.4
IM.NV03._2008-05-09T23_17_32.536_2008-05-09T23_21_26.162.npz,2400,5745,SHZ,IM,2.9
IM.NV03._2008-05-10T00_34_01.538_2008-05-10T00_39_26.351.npz,943,7936,SHZ,IM,3.0
IM.NV03._2008-05-10T02_13_50.712_2008-05-10T02_17_25.292.npz,905,4779,SHZ,IM,3.1
IM.NV03._2008-05-10T02_22_44.132_2008-05-10T02_26_18.738.npz,307,4183,SHZ,IM,3.1
IM.NV03._2008-05-10T08_44_39.485_2008-05-10T08_49_34.112.npz,727,6512,SHZ,IM,3.3
IM.NV03._2008-05-10T09_40_54.685_2008-05-10T09_46_38.605.npz,229,7986,SHZ,IM,3.2
IM.NV03._2008-05-10T09_53_02.567_2008-05-10T09_58_49.266.npz,648,8516,SHZ,IM,3.0
IM.NV03._2008-05-10T10_56_04.030_2008-05-10T11_01_18.937.npz,773,7369,SHZ,IM,3.2
IM.NV03._2008-05-10T20_20_41.127_2008-05-10T20_26_28.022.npz,601,8476,SHZ,IM,3.2
IM.NV03._2008-05-11T00_09_39.821_2008-05-11T00_15_05.511.npz,854,7882,SHZ,IM,3.2
IM.NV03._2008-05-11T00_17_25.591_2008-05-11T00_21_41.756.npz,2400,6647,SHZ,IM,1.5
IM.NV03._2008-05-11T02_35_18.774_2008-05-11T02_39_34.607.npz,2400,6634,SHZ,IM,3.0
IM.NV03._2008-05-11T03_41_03.952_2008-05-11T03_45_51.566.npz,927,6431,SHZ,IM,3.8
IM.NV03._2008-05-11T05_18_00.571_2008-05-11T05_22_17.585.npz,2400,6681,SHZ,IM,2.3
IM.NV03._2008-05-11T07_05_46.395_2008-05-11T07_10_05.165.npz,2400,6751,SHZ,IM,2.1
IM.NV03._2008-05-11T10_38_19.950_2008-05-11T10_42_47.556.npz,2400,7105,SHZ,IM,2.6
IM.NV03._2008-05-11T18_12_09.189_2008-05-11T18_16_54.678.npz,955,6375,SHZ,IM,2.1
IM.NV03._2008-05-12T03_36_37.323_2008-05-12T03_42_12.138.npz,746,8139,SHZ,IM,3.0
IM.NV03._2008-05-12T11_50_42.920_2008-05-12T11_54_31.306.npz,2400,5536,SHZ,IM,2.9
IM.NV03._2008-05-12T20_22_35.754_2008-05-12T20_26_50.254.npz,2400,6580,SHZ,IM,2.2
IM.NV03._2008-05-12T23_07_10.242_2008-05-12T23_11_28.510.npz,2400,6731,SHZ,IM,1.8
IM.NV03._2008-05-13T04_08_09.116_2008-05-13T04_12_17.152.npz,2400,6322,SHZ,IM,4.1
IM.NV03._2008-05-13T06_11_05.869_2008-05-13T06_16_55.608.npz,819,8809,SHZ,IM,3.2
IM.NV03._2008-05-13T08_49_48.776_2008-05-13T08_54_09.967.npz,2400,6847,SHZ,IM,2.9
IM.NV03._2008-05-13T08_58_17.540_2008-05-13T09_02_35.662.npz,2400,6725,SHZ,IM,2.0
IM.NV03._2008-05-13T09_23_34.707_2008-05-13T09_27_53.044.npz,2400,6733,SHZ,IM,1.8
IM.NV03._2008-05-13T09_56_11.962_2008-05-13T10_00_30.175.npz,2400,6729,SHZ,IM,1.8
IM.NV03._2008-05-13T11_12_49.010_2008-05-13T11_17_10.222.npz,2400,6848,SHZ,IM,2.2
IM.NV03._2008-05-13T11_58_36.283_2008-05-13T12_02_53.159.npz,2400,6675,SHZ,IM,1.4
IM.NV03._2008-05-13T17_23_18.860_2008-05-13T17_27_35.319.npz,2400,6658,SHZ,IM,1.8
IM.NV03._2008-05-13T17_42_29.799_2008-05-13T17_46_46.607.npz,2400,6673,SHZ,IM,1.9
IM.NV03._2008-05-13T17_55_48.151_2008-05-13T18_00_04.923.npz,2400,6670,SHZ,IM,1.7
IM.NV03._2008-05-13T21_56_55.290_2008-05-13T22_01_11.579.npz,2400,6652,SHZ,IM,2.1
IM.NV03._2008-05-14T00_18_24.330_2008-05-14T00_22_39.765.npz,2400,6617,SHZ,IM,2.6
IM.NV03._2008-05-14T01_08_46.600_2008-05-14T01_13_26.661.npz,429,5632,SHZ,IM,3.6
IM.NV03._2008-05-14T03_56_53.968_2008-05-14T04_00_37.372.npz,461,4865,SHZ,IM,2.7
IM.NV03._2008-05-14T06_42_54.492_2008-05-14T06_47_15.306.npz,2400,6833,SHZ,IM,2.7
IM.NV03._2008-05-14T09_56_25.529_2008-05-14T10_01_31.184.npz,432,6658,SHZ,IM,2.1
IM.NV03._2008-05-14T10_35_19.370_2008-05-14T10_39_13.668.npz,2400,5772,SHZ,IM,2.6
IM.NV03._2008-05-14T13_59_54.212_2008-05-14T14_05_36.694.npz,687,8386,SHZ,IM,2.3
IM.NV03._2008-05-14T16_11_03.159_2008-05-14T16_15_46.362.npz,108,5436,SHZ,IM,4.8
IM.NV03._2008-05-14T18_07_17.231_2008-05-14T18_11_33.924.npz,2400,6667,SHZ,IM,1.6
IM.NV03._2008-05-14T18_51_35.452_2008-05-14T18_54_58.262.npz,3600,6768,SHZ,IM,3.0
IM.NV03._2008-05-14T19_07_29.755_2008-05-14T19_11_45.638.npz,2400,6635,SHZ,IM,1.3
IM.NV03._2008-05-14T22_04_40.424_2008-05-14T22_08_10.005.npz,589,4165,SHZ,IM,3.4
IM.NV03._2008-05-15T00_17_31.803_2008-05-15T00_21_49.500.npz,2400,6708,SHZ,IM,1.6
IM.NV03._2008-05-15T06_46_50.943_2008-05-15T06_50_26.898.npz,351,4308,SHZ,IM,2.8
IM.NV03._2008-05-15T07_55_07.352_2008-05-15T07_58_45.275.npz,855,4930,SHZ,IM,3.2
IM.NV03._2008-05-15T11_42_04.330_2008-05-15T11_46_20.787.npz,2400,6658,SHZ,IM,2.0
IM.NV03._2008-05-15T13_27_42.881_2008-05-15T13_33_22.080.npz,324,7892,SHZ,IM,3.1
IM.NV03._2008-05-15T13_44_18.838_2008-05-15T13_47_41.886.npz,3600,6783,SHZ,IM,3.4
IM.NV03._2008-05-15T20_23_46.677_2008-05-15T20_28_08.678.npz,2400,6880,SHZ,IM,1.6
IM.NV03._2008-05-15T21_47_20.359_2008-05-15T21_51_38.971.npz,2400,6744,SHZ,IM,1.6
IM.NV03._2008-05-16T01_46_24.669_2008-05-16T01_52_08.969.npz,461,8233,SHZ,IM,2.9
IM.NV03._2008-05-16T14_25_31.024_2008-05-16T14_31_44.043.npz,99,9020,SHZ,IM,2.9
IM.NV03._2008-05-16T15_01_20.767_2008-05-16T15_05_14.667.npz,2400,5756,SHZ,IM,3.0
IM.NV03._2008-05-16T17_00_04.839_2008-05-16T17_03_57.851.npz,2400,5721,SHZ,IM,2.8
IM.NV03._2008-05-16T20_24_46.480_2008-05-16T20_29_04.814.npz,2400,6733,SHZ,IM,1.7
IM.NV03._2008-05-16T21_55_24.359_2008-05-16T22_01_09.436.npz,432,8235,SHZ,IM,3.1
IM.NV03._2008-05-17T02_34_41.517_2008-05-17T02_40_10.440.npz,6,7163,SHZ,IM,3.1
IM.NV03._2008-05-17T08_11_14.862_2008-05-17T08_15_31.740.npz,2400,6675,SHZ,IM,1.7
IM.NV03._2008-05-17T10_17_18.434_2008-05-17T10_22_48.928.npz,445,7665,SHZ,IM,2.8
IM.NV03._2008-05-17T12_25_10.421_2008-05-17T12_30_12.925.npz,993,7094,SHZ,IM,2.7
IM.NV03._2008-05-17T12_39_14.720_2008-05-17T12_43_45.090.npz,942,5757,SHZ,IM,2.9
IM.NV03._2008-05-17T13_10_42.235_2008-05-17T13_15_12.998.npz,2400,7230,SHZ,IM,2.2
IM.NV03._2008-05-17T13_20_03.749_2008-05-17T13_25_27.553.npz,733,7686,SHZ,IM,2.5
IM.NV03._2008-05-17T16_07_55.494_2008-05-17T16_12_26.479.npz,642,5482,SHZ,IM,3.0
IM.NV03._2008-05-17T17_10_07.347_2008-05-17T17_13_45.149.npz,838,4906,SHZ,IM,3.0
IM.NV03._2008-05-17T17_10_12.883_2008-05-17T17_14_33.916.npz,2400,6841,SHZ,IM,1.8
IM.NV03._2008-05-17T17_14_23.277_2008-05-17T17_18_44.290.npz,2400,6840,SHZ,IM,2.3
IM.NV03._2008-05-17T17_25_40.951_2008-05-17T17_29_50.233.npz,2400,6371,SHZ,IM,2.7
IM.NV03._2008-05-17T19_09_39.830_2008-05-17T19_14_02.129.npz,2400,6892,SHZ,IM,2.7
IM.NV03._2008-05-17T21_05_45.708_2008-05-17T21_09_23.528.npz,68,4137,SHZ,IM,2.9
IM.NV03._2008-05-18T03_55_46.142_2008-05-18T04_00_02.729.npz,2400,6664,SHZ,IM,2.1
IM.NV03._2008-05-18T07_27_05.359_2008-05-18T07_31_22.038.npz,2400,6667,SHZ,IM,2.0
IM.NV03._2008-05-18T08_43_50.718_2008-05-18T08_47_13.932.npz,654,3847,SHZ,IM,3.1
IM.NV03._2008-05-18T10_52_42.556_2008-05-18T10_57_04.113.npz,2400,6862,SHZ,IM,1.9
IM.NV03._2008-05-18T22_20_47.139_2008-05-18T22_25_15.894.npz,2400,7150,SHZ,IM,3.3
IM.NV03._2008-05-18T22_39_46.723_2008-05-18T22_43_42.370.npz,2400,5826,SHZ,IM,2.6
IM.NV03._2008-05-19T04_28_58.435_2008-05-19T04_33_19.254.npz,2400,6833,SHZ,IM,2.4
IM.NV03._2008-05-19T06_09_23.181_2008-05-19T06_15_08.149.npz,488,8286,SHZ,IM,2.3
IM.NV03._2008-05-19T08_18_40.584_2008-05-19T08_24_04.841.npz,997,7967,SHZ,IM,2.5
IM.NV03._2008-05-19T09_26_54.132_2008-05-19T09_31_14.249.npz,2400,6804,SHZ,IM,2.2
IM.NV03._2008-05-19T15_22_16.876_2008-05-19T15_26_08.328.npz,2400,5658,SHZ,IM,2.4
IM.NV03._2008-05-19T17_03_49.262_2008-05-19T17_09_13.164.npz,646,7602,SHZ,IM,2.8
IM.NV03._2008-05-20T01_45_36.117_2008-05-20T01_49_54.355.npz,2400,6730,SHZ,IM,1.4
IM.NV03._2008-05-20T02_59_42.428_2008-05-20T03_03_22.321.npz,488,4680,SHZ,IM,3.7
IM.NV03._2008-05-20T06_56_05.580_2008-05-20T07_00_23.391.npz,2400,6712,SHZ,IM,2.0
IM.NV03._2008-05-20T07_57_57.773_2008-05-20T08_02_09.942.npz,2400,6487,SHZ,IM,1.8
IM.NV03._2008-05-20T12_31_42.145_2008-05-20T12_35_28.849.npz,2400,5468,SHZ,IM,2.3
IM.NV03._2008-05-20T13_41_04.677_2008-05-20T13_45_24.811.npz,2400,6805,SHZ,IM,1.9
IM.NV03._2008-05-20T14_18_02.886_2008-05-20T14_22_11.038.npz,2400,6326,SHZ,IM,2.8
IM.NV03._2008-05-20T23_00_01.242_2008-05-20T23_03_37.767.npz,229,4220,SHZ,IM,3.2
IM.NV03._2008-05-21T03_21_04.637_2008-05-21T03_25_21.063.npz,2400,6657,SHZ,IM,2.3
IM.NV03._2008-05-21T03_53_25.762_2008-05-21T03_57_41.843.npz,2400,6643,SHZ,IM,2.5
IM.NV03._2008-05-21T11_42_24.028_2008-05-21T11_46_14.832.npz,2400,5632,SHZ,IM,2.5
IM.NV03._2008-05-21T23_09_59.278_2008-05-21T23_14_15.326.npz,2400,6642,SHZ,IM,3.1
IM.NV03._2008-05-21T23_57_19.886_2008-05-22T00_01_16.857.npz,2400,5879,SHZ,IM,3.0
IM.NV03._2008-05-22T00_42_02.725_2008-05-22T00_46_16.563.npz,2400,6554,SHZ,IM,2.2
IM.NV03._2008-05-22T02_11_54.759_2008-05-22T02_16_30.316.npz,2400,7422,SHZ,IM,3.8
IM.NV03._2008-05-22T07_02_40.882_2008-05-22T07_08_10.785.npz,757,7953,SHZ,IM,3.0
IM.NV03._2008-05-22T07_23_56.966_2008-05-22T07_28_07.717.npz,2400,6430,SHZ,IM,1.7
IM.NV03._2008-05-22T08_38_07.986_2008-05-22T08_42_28.186.npz,2400,6808,SHZ,IM,1.6
IM.NV03._2008-05-22T10_01_15.621_2008-05-22T10_06_10.209.npz,495,6279,SHZ,IM,3.9
IM.NV03._2008-05-22T12_03_03.867_2008-05-22T12_08_53.119.npz,598,8568,SHZ,IM,2.8
IM.NV03._2008-05-22T13_27_54.891_2008-05-22T13_32_41.409.npz,179,5640,SHZ,IM,2.0
IM.NV03._2008-05-22T16_25_21.432_2008-05-22T16_29_38.162.npz,2400,6669,SHZ,IM,2.1
IM.NV03._2008-05-22T19_35_14.821_2008-05-22T19_39_30.293.npz,2400,6619,SHZ,IM,2.1
IM.NV03._2008-05-23T03_42_58.398_2008-05-23T03_47_13.614.npz,2400,6609,SHZ,IM,2.2
IM.NV03._2008-05-23T04_40_55.257_2008-05-23T04_45_05.748.npz,2400,6419,SHZ,IM,1.5
IM.NV03._2008-05-23T15_33_52.831_2008-05-23T15_38_13.442.npz,2400,6824,SHZ,IM,2.3
IM.NV03._2008-05-23T20_23_51.707_2008-05-23T20_29_18.426.npz,983,8052,SHZ,IM,3.0
IM.NV03._2008-05-24T00_34_08.548_2008-05-24T00_39_39.504.npz,307,7546,SHZ,IM,3.0
IM.NV03._2008-05-24T03_00_09.865_2008-05-24T03_04_50.767.npz,372,5608,SHZ,IM,2.1
IM.NV03._2008-05-24T04_12_54.927_2008-05-24T04_16_32.027.npz,345,4371,SHZ,IM,2.8
IM.NV03._2008-05-24T08_51_21.873_2008-05-24T08_55_08.629.npz,2400,5471,SHZ,IM,2.7
IM.NV03._2008-05-24T15_06_23.151_2008-05-24T15_11_18.987.npz,704,6537,SHZ,IM,3.5
IM.NV03._2008-05-24T21_30_55.195_2008-05-24T21_36_23.802.npz,837,7982,SHZ,IM,3.0
